structure,method,folder,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347
structure57,bfgs,random,-475.376496,-475.567305,-475.567318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure4,bfgs,random,-475.376401,-475.567304,-475.567318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure5,bfgs,random,-475.375889,-475.567303,-475.567318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure65,bfgs,random,-230.167866,-371.706345,-377.802566,-397.120958,-401.501421,-411.664067,-437.017774,-443.689269,-451.252686,-454.607676,-456.423344,-457.587505,-459.279585,-460.505727,-461.869062,-462.858653,-463.520876,-464.128115,-464.714660,-465.471070,-465.731416,-465.808567,-465.856878,-465.889705,-465.946547,-466.050502,-466.224619,-466.439359,-466.614587,-466.691843,-466.791803,-466.887376,-467.003365,-467.076521,-467.152013,-467.196950,-467.243882,-467.292585,-467.335483,-467.375640,-467.416166,-467.466513,-467.708022,-467.980440,-468.156929,-468.628146,-468.943382,-469.178434,-469.307224,-469.361677,-469.468122,-469.701750,-469.803862,-469.854707,-469.914801,-469.944813,-469.964958,-469.988419,-470.001578,-470.008273,-470.011844,-470.013884,-470.014263,-470.014277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure1,bfgs,rattled,-475.376178,-475.567302,-475.567318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure2,bfgs,rattled,-475.375886,-475.567302,-475.567318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure1,conj,random,-216.182717,-335.366276,-382.694761,-399.610538,-417.554464,-430.858782,-437.154788,-445.713966,-448.449351,-451.090010,-452.209100,-453.379129,-454.986537,-456.341904,-456.876133,-457.393860,-457.827918,-458.676564,-459.059442,-459.711585,-459.956091,-460.227582,-460.464674,-460.608212,-460.896200,-461.246731,-462.139767,-462.454746,-462.721378,-462.967650,-463.048376,-463.147006,-463.252815,-463.364402,-463.487527,-463.548310,-463.634190,-463.726130,-463.968534,-464.350981,-464.499348,-464.648553,-464.767630,-464.873052,-464.956838,-465.039043,-465.163227,-465.220771,-465.324792,-465.358122,-465.378792,-465.423089,-465.458338,-465.529149,-465.604913,-465.648212,-465.746397,-465.826955,-465.945700,-466.052571,-466.114724,-466.163516,-466.224328,-466.256556,-466.295749,-466.327700,-466.376929,-466.410307,-466.439619,-466.459354,-466.472776,-466.486231,-466.506474,-466.535019,-466.554891,-466.581544,-466.601651,-466.655764,-466.681705,-466.745486,-466.782589,-466.808400,-466.838066,-466.851167,-466.868261,-466.882992,-466.903974,-466.921238,-466.937620,-466.955283,-466.969952,-466.981060,-466.993422,-467.009002,-467.025226,-467.053367,-467.076436,-467.140983,-467.195334,-467.258524,-467.301956,-467.343903,-467.412050,-467.452000,-467.481651,-467.491742,-467.505053,-467.530251,-467.548411,-467.608150,-467.642809,-467.659444,-467.670844,-467.685810,-467.706567,-467.723455,-467.738436,-467.761637,-467.795498,-467.828896,-467.841761,-467.863493,-467.896190,-467.910760,-467.920288,-467.925600,-467.929904,-467.936225,-467.942928,-467.947271,-467.949732,-467.952306,-467.958125,-467.963713,-467.967826,-467.976694,-467.982765,-467.986473,-467.990700,-467.999928,-468.005611,-468.006804,-468.008969,-468.011080,-468.019888,-468.027029,-468.039980,-468.045162,-468.052205,-468.061811,-468.066906,-468.069688,-468.071396,-468.073778,-468.075447,-468.076614,-468.077815,-468.079409,-468.082108,-468.084879,-468.086980,-468.088038,-468.088413,-468.088802,-468.089881,-468.090736,-468.091453,-468.091920,-468.104587,-468.117921,-468.127391,-468.131161,-468.134396,-468.136435,-468.137509,-468.140952,-468.145397,-468.148138,-468.151088,-468.157341,-468.159895,-468.161239,-468.164099,-468.168309,-468.172039,-468.177263,-468.183538,-468.190213,-468.197395,-468.212720,-468.220129,-468.222981,-468.228102,-468.233869,-468.236759,-468.241269,-468.244314,-468.247779,-468.252359,-468.261332,-468.265553,-468.267638,-468.271011,-468.274320,-468.286669,-468.300652,-468.315204,-468.328103,-468.344256,-468.372407,-468.386994,-468.391050,-468.391169,-468.400186,-468.403325,-468.409042,-468.422405,-468.432607,-468.439806,-468.450673,-468.457377,-468.462721,-468.468519,-468.485919,-468.526421,-468.597867,-468.679108,-468.740941,-469.012801,-469.359525,-469.574299,-469.747845,-469.802723,-470.001782,-470.245123,-470.389654,-470.555242,-470.729024,-470.819250,-470.859486,-470.884647,-470.910169,-470.933518,-470.962290,-471.013541,-471.088674,-471.139254,-471.174475,-471.200729,-471.219874,-471.230194,-471.236125,-471.246213,-471.258089,-471.300592,-471.315022,-471.339802,-471.359575,-471.383082,-471.392676,-471.398480,-471.405273,-471.410106,-471.417839,-471.420327,-471.423179,-471.424455,-471.426541,-471.428769,-471.432378,-471.433780,-471.434661,-471.435464,-471.436733,-471.438261,-471.439312,-471.441119,-471.441903,-471.443291,-471.444641,-471.445575,-471.446009,-471.446579,-471.447309,-471.447791,-471.448123,-471.448360,-471.448500,-471.448755,-471.448882,-471.448954,-471.449136,-471.449308,-471.449441,-471.449531,-471.449635,-471.449728,-471.450036,-471.450380,-471.451483,-471.451948,-471.452277,-471.452335,-471.452509,-471.452596,-471.452744,-471.452844,-471.452938,-471.452981,-471.453101,-471.453133,-471.453221,-471.453371,-471.453403,-471.453438,-471.453443,-471.453445,-471.453445,-471.453446,-471.453446,-471.453446,-471.453446,-471.453446,,,,,,,,,,,,,,,,,,,,,,,,,
structure57,conj,random,-45.962048,-314.485152,-379.915881,-416.418124,-437.387322,-442.142447,-445.795779,-448.205075,-451.156492,-453.364006,-454.066394,-455.054962,-455.847706,-456.582670,-457.967402,-459.388119,-460.528846,-461.068991,-462.313233,-463.500835,-464.048149,-464.509972,-465.190417,-465.556592,-465.716907,-465.838073,-465.966533,-466.116683,-466.272996,-466.410034,-466.472727,-466.530838,-466.601556,-466.664846,-466.724398,-466.775318,-466.879112,-466.950064,-467.043899,-467.139864,-467.197368,-467.250935,-467.354486,-467.528403,-467.852791,-468.100245,-468.473230,-468.724685,-469.011437,-469.251718,-469.388558,-469.521440,-469.731970,-469.951890,-470.247136,-470.564547,-470.852322,-470.965461,-471.073142,-471.155819,-471.198297,-471.274381,-471.378453,-471.465206,-471.520325,-471.562344,-471.590941,-471.617569,-471.669051,-471.717137,-471.738982,-471.767673,-471.803894,-471.844487,-471.898755,-471.993603,-472.128886,-472.251540,-472.294597,-472.345544,-472.365431,-472.387596,-472.419507,-472.439616,-472.450280,-472.461508,-472.466845,-472.472550,-472.476457,-472.479318,-472.481038,-472.482809,-472.486957,-472.490131,-472.492690,-472.496822,-472.501447,-472.504765,-472.511602,-472.515505,-472.517474,-472.519427,-472.519992,-472.520677,-472.521637,-472.522254,-472.523223,-472.523825,-472.524342,-472.524667,-472.524885,-472.525658,-472.525968,-472.526009,-472.526018,-472.526052,-472.526271,-472.526525,-472.526782,-472.526913,-472.526994,-472.527061,-472.527259,-472.527717,-472.527900,-472.528277,-472.528490,-472.528617,-472.528744,-472.529132,-472.529421,-472.529458,-472.529487,-472.529503,-472.529544,-472.529617,-472.529722,-472.529903,-472.530014,-472.530064,-472.530080,-472.530085,-472.530092,-472.530097,-472.530101,-472.530107,-472.530116,-472.530120,-472.530124,-472.530148,-472.530155,-472.530157,-472.530159,-472.530161,-472.530162,-472.530163,-472.530163,-472.530164,-472.530164,-472.530165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure4,conj,random,-53.354440,-278.261125,-313.965283,-348.678158,-366.368820,-383.459514,-394.001638,-409.609336,-414.702483,-424.359685,-430.480897,-435.268272,-440.286079,-445.466653,-448.478171,-452.518218,-454.864170,-456.636723,-457.435350,-458.096842,-458.311785,-458.577554,-459.593877,-461.135388,-462.346470,-462.993864,-463.540730,-464.022248,-464.369695,-464.709535,-464.872036,-464.992584,-465.292466,-465.523694,-465.837922,-466.113444,-466.294556,-466.481678,-466.580400,-466.668208,-466.711679,-466.769579,-466.866059,-466.939082,-467.073784,-467.172382,-467.383284,-467.611578,-467.871812,-468.136580,-468.318459,-468.429337,-468.750223,-468.900916,-469.021649,-469.096296,-469.150745,-469.216114,-469.257702,-469.291946,-469.310101,-469.327628,-469.350581,-469.363446,-469.377294,-469.394435,-469.412897,-469.434873,-469.448924,-469.455058,-469.458286,-469.462282,-469.466553,-469.469261,-469.471326,-469.474886,-469.478206,-469.482344,-469.486369,-469.492530,-469.496358,-469.498105,-469.499723,-469.501519,-469.503565,-469.505012,-469.506067,-469.507873,-469.509877,-469.511975,-469.513320,-469.515005,-469.516416,-469.517235,-469.518136,-469.519411,-469.520361,-469.521387,-469.522185,-469.523576,-469.524637,-469.525356,-469.526181,-469.527015,-469.527777,-469.528501,-469.528952,-469.529810,-469.530753,-469.531468,-469.532014,-469.532600,-469.533135,-469.533554,-469.533992,-469.534542,-469.535264,-469.535834,-469.537007,-469.540479,-469.541802,-469.542416,-469.542621,-469.542623,-469.542739,-469.543158,-469.543393,-469.543429,-469.543476,-469.543635,-469.543663,-469.543676,-469.543679,-469.543680,-469.543681,-469.543681,-469.543681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure65,conj,random,-230.167866,-340.246169,-392.109255,-410.637653,-425.883344,-435.093159,-440.981128,-444.289657,-449.528618,-453.488647,-455.391973,-456.811506,-459.018897,-461.170452,-462.844102,-463.973428,-464.839222,-465.561443,-465.955131,-466.566215,-466.939222,-467.209235,-467.601553,-467.951120,-468.245081,-468.645886,-468.799650,-469.006499,-469.098056,-469.175102,-469.218982,-469.263079,-469.316002,-469.355952,-469.398621,-469.470841,-469.498535,-469.538664,-469.594963,-469.671706,-469.710951,-469.730374,-469.750162,-469.774668,-469.826129,-469.867543,-469.908852,-469.984299,-470.021534,-470.063383,-470.083535,-470.110466,-470.135674,-470.148311,-470.156902,-470.169760,-470.177768,-470.183903,-470.193791,-470.204224,-470.210880,-470.217225,-470.220585,-470.226720,-470.246343,-470.269192,-470.294619,-470.351661,-470.399141,-470.451388,-470.481474,-470.500223,-470.518992,-470.537939,-470.556818,-470.580027,-470.599480,-470.611927,-470.627243,-470.637673,-470.645739,-470.653505,-470.668730,-470.711906,-470.736325,-470.764884,-470.836180,-471.078409,-471.272820,-471.439862,-471.529761,-471.646653,-471.713644,-471.776946,-471.847517,-471.891508,-471.922795,-471.963175,-472.003329,-472.112209,-472.179889,-472.209333,-472.244860,-472.287560,-472.375629,-472.531746,-472.850239,-473.065585,-473.657470,-474.112951,-474.360037,-474.940223,-475.161337,-475.298619,-475.452934,-475.505942,-475.533234,-475.553674,-475.557588,-475.559821,-475.560929,-475.561801,-475.563096,-475.563682,-475.564113,-475.564541,-475.564731,-475.564837,-475.565048,-475.565233,-475.565326,-475.565419,-475.565542,-475.565672,-475.565937,-475.566092,-475.566178,-475.566303,-475.566444,-475.566564,-475.566624,-475.566674,-475.566714,-475.566747,-475.566812,-475.566853,-475.566882,-475.566920,-475.566965,-475.566988,-475.567006,-475.567027,-475.567043,-475.567055,-475.567064,-475.567150,-475.567181,-475.567214,-475.567223,-475.567281,-475.567294,-475.567299,-475.567305,-475.567307,-475.567308,-475.567310,-475.567312,-475.567312,-475.567313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
